Année;Nom du film;Budget;Genre;Spectateurs;Box Office;Récompenses;
2019;Green Book;23'000'000;Drama,Comedy;No;Yes;
2018;The Shape of Water;19'500'000;Drama,Fantasy,Romance;Yes;Yes;
2017;Moonlight;4'000'000;Drama;Yes;Yes;
2016;Spotlight;20'000'000;Drama,Thriller,History;Yes;Yes;
2015;Birdman;18'000'000;Drama,Comedy;Yes;Yes;
2014;Twelve Years a Slave;20'000'000;Drama,History;Yes;Yes;
2013;Argo;44'500'000;Drama,Thriller;Yes;Yes;
2012;The Artist;15'000'000;Drama,Comedy,Romance;Yes;Yes;
2011;The King's Speech;15'000'000;Drama,History;Yes;Yes;
2010;The Hurt Locker;15'000'000;Drama,Thriller,War;Yes;Yes;
