rank,title,studio,lifetime_gross,year
1,Star Wars: The Force Awakens,BV,936662225,2015
2,Avatar,Fox,760507625,2009
3,Black Panther,BV,700059566,2018
4,Avengers: Infinity War,BV,678681680,2018
6,Jurassic World,Uni.,652270625,2015
7,Marvel's The Avengers,BV,623357910,2012
8,Star Wars: The Last Jedi,BV,620181382,2017
9,Incredibles 2,BV,597066966,2018
10,The Dark Knight,WB,534858444,2008
11,Rogue One: A Star Wars Story,BV,532177324,2016
12,Beauty and the Beast (2017),BV,504014165,2017
13,Finding Dory,BV,486295561,2016
16,Avengers: Age of Ultron,BV,459005868,2015
17,The Dark Knight Rises,WB,448139099,2012
20,The Hunger Games: Catching Fire,LGF,424668047,2013
23,Toy Story 3,BV,415004880,2010
24,Jurassic World: Fallen Kingdom,Uni.,413025695,2018
25,Wonder Woman,WB,412563408,2017
26,Iron Man 3,BV,409013994,2013
27,Captain America: Civil War,BV,408084349,2016
28,The Hunger Games,LGF,408010692,2012
29,Jumanji: Welcome to the Jungle,Sony,404515480,2017
32,Transformers: Revenge of the Fallen,P/DW,402111870,2009
33,Frozen,BV,400738009,2013
34,Guardians of the Galaxy Vol. 2,BV,389813101,2017
35,Harry Potter and the Deathly Hallows Part 2,WB,381011219,2011
41,The Secret Life of Pets,Uni.,368384330,2016
42,Despicable Me 2,Uni.,368061265,2013
43,The Jungle Book (2016),BV,364001123,2016
44,Deadpool,Fox,363070709,2016
45,Inside Out,BV,356461711,2015
46,Furious 7,Uni.,353007020,2015
47,Transformers: Dark of the Moon,P/DW,352390543,2011
48,American Sniper,WB,350126372,2014
50,Zootopia,BV,341268248,2016
51,The Hunger Games: Mockingjay - Part 1,LGF,337135885,2014
53,Minions,Uni.,336045770,2015
54,Spider-Man: Homecoming,Sony,334201140,2017
55,Alice in Wonderland (2010),BV,334191110,2010
56,Guardians of the Galaxy,BV,333176600,2014
57,Batman v Superman: Dawn of Justice,WB,330360194,2016
59,It,WB (NL),327481748,2017
60,Suicide Squad,WB,325100054,2016
63,Iron Man,Par.,318412101,2008
64,Deadpool 2,Fox,318365417,2018
66,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,2008
68,Thor: Ragnarok,BV,315058289,2017
69,Iron Man 2,Par.,312433331,2010
75,Skyfall,Sony,304360277,2012
76,The Hobbit: An Unexpected Journey,WB (NL),303003568,2012
77,Harry Potter and the Half-Blood Prince,WB,301959197,2009
78,The Twilight Saga: Eclipse,Sum.,300531751,2010
79,The Twilight Saga: New Moon,Sum.,296623634,2009
80,Harry Potter and the Deathly Hallows Part 1,WB,295983305,2010
82,Up,BV,293004164,2009
83,Inception,WB,292576195,2010
84,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737,2012
87,Man of Steel,WB,291045518,2013
92,The Hunger Games: Mockingjay - Part 2,LGF,281723902,2015
94,The Twilight Saga: Breaking Dawn Part 1,Sum.,281287133,2011
96,The Hangover,WB,277322503,2009
97,Gravity,WB,274092705,2013
98,Sing,Uni.,270395425,2016
99,Monsters University,BV,268492764,2013
101,Despicable Me 3,Uni.,264624300,2017
102,The Amazing Spider-Man,Sony,262030663,2012
107,Captain America: The Winter Soldier,BV,259766572,2014
108,The Hobbit: The Desolation of Smaug,WB (NL),258366855,2013
109,The LEGO Movie,WB,257760692,2014
110,Star Trek,Par.,257730019,2009
112,The Blind Side,WB,255959475,2009
113,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,2014
114,The Hangover Part II,WB,254464305,2011
115,Despicable Me,Uni.,251513985,2010
120,Moana,BV,248757044,2016
123,Transformers: Age of Extinction,Par.,245439076,2014
129,Maleficent,BV,241410378,2014
130,Pirates of the Caribbean: On Stranger Tides,BV,241071802,2011
131,Shrek Forever After,P/DW,238736787,2010
132,Fast & Furious 6,Uni.,238679850,2013
133,Brave,BV,237283207,2012
134,Oz The Great and Powerful,BV,234911825,2013
138,Fantastic Beasts and Where To Find Them,WB,234037575,2016
139,X-Men: Days of Future Past,Fox,233921534,2014
142,Doctor Strange,BV,232641920,2016
144,Justice League,WB,229024295,2017
145,Star Trek Into Darkness,Par.,228778661,2013
146,The Martian,Fox,228433663,2015
148,Hancock,Sony,227946274,2008
150,Logan,Fox,226277068,2017
152,The Fate of the Furious,Uni.,226008385,2017
153,WALL-E,BV,223808164,2008
154,Big Hero 6,BV,222527828,2014
156,Alvin and the Chipmunks: The Squeakquel,Fox,219614612,2009
159,Ted,Uni.,218815487,2012
162,How to Train Your Dragon,P/DW,217581231,2010
167,Madagascar 3: Europe's Most Wanted,P/DW,216391482,2012
168,Kung Fu Panda,P/DW,215434591,2008
171,Dr. Seuss' The Lorax,Uni.,214030500,2012
172,Solo: A Star Wars Story,BV,213588649,2018
174,Ant-Man and the Wasp,BV,211470699,2018
177,Fast Five,Uni.,209837675,2011
178,Coco,BV,209726015,2017
179,Mission: Impossible - Ghost Protocol,Par.,209397903,2011
181,Sherlock Holmes,WB,209028679,2009
182,Dawn of the Planet of the Apes,Fox,208545589,2014
186,Thor: The Dark World,BV,206362140,2013
189,The Amazing Spider-Man 2,Sony,202853933,2014
190,World War Z,Par.,202359711,2013
193,Cinderella (2015),BV,201151353,2015
194,Tangled,BV,200821936,2010
195,Godzilla (2014),WB,200676069,2014
197,Spectre,Sony,200074609,2015
200,Monsters Vs. Aliens,P/DW,198351526,2009
203,Ice Age: Dawn of the Dinosaurs,Fox,196573705,2009
205,Mission: Impossible - Rogue Nation,Par.,195042377,2015
206,Mission: Impossible - Fallout,Par.,193900660,2018
208,Twilight,Sum.,192769854,2008
210,22 Jump Street,Sony,191719337,2014
211,Cars 2,BV,191452396,2011
212,Teenage Mutant Ninja Turtles (2014),Par.,191204754,2014
214,Dunkirk,WB,190068280,2017
215,Wreck-It Ralph,BV,189422889,2012
217,A Quiet Place,Par.,188024361,2018
218,Interstellar,Par.,188020017,2014
220,The Croods,Fox,187168425,2013
221,Sherlock Holmes: A Game of Shadows,WB,186848418,2011
226,Pitch Perfect 2,Uni.,184296230,2015
230,The Revenant,Fox,183637894,2015
235,Lincoln,BV,182207973,2012
238,Thor,Par.,181030624,2011
240,Ant-Man,BV,180202163,2015
242,Madagascar: Escape 2 Africa,P/DW,180010950,2008
243,X-Men Origins: Wolverine,Fox,179883157,2009
247,MIB 3,Sony,179020854,2012
249,Home (2015),Fox,177397510,2015
250,Night at the Museum: Battle of the Smithsonian,Fox,177243721,2009
252,How to Train Your Dragon 2,Fox,177002924,2014
253,Rise of the Planet of the Apes,Fox,176760185,2011
254,Captain America: The First Avenger,Par.,176654505,2011
255,The Karate Kid,Sony,176591618,2010
259,Get Out,Uni.,176040665,2017
260,The LEGO Batman Movie,WB,175750384,2017
261,The Boss Baby,Fox,175003033,2017
263,The Greatest Showman,Fox,174340174,2017
270,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,2017
271,Tron Legacy,BV,172062763,2010
273,True Grit,Par.,171243005,2010
277,The Help,BV,169708112,2011
278,Hotel Transylvania 2,Sony,169700110,2015
279,Hidden Figures,Fox,169607287,2016
280,Bridesmaids,Uni.,169106725,2011
281,Quantum of Solace,Sony,168368427,2008
283,Kong: Skull Island,WB,168052812,2017
285,Gone Girl,Fox,167767189,2014
288,Fifty Shades of Grey,Uni.,166167230,2015
289,2012,Sony,166112167,2009
291,Kung Fu Panda 2,P/DW,165249063,2011
294,The Proposal,BV,163958031,2009
297,Clash of the Titans (2010),WB,163214888,2010
298,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,2015
300,Django Unchained,Wein.,162805434,2012
302,Jason Bourne,Uni.,162434410,2016
303,Grown Ups,Sony,162001186,2010
